1486673605030037,1.47,0.41,7.48
1486673605030037,1.47,0.41,7.48
1486673605030037,1.48,0.41,7.46
1486673605030037,1.48,0.41,7.46
1486673605030037,1.47,0.40,7.48
1486673605030037,1.47,0.40,7.48
1486673605042792,1.47,0.40,7.49
1486673605042792,1.47,0.40,7.49
1486673605042792,1.48,0.41,7.48
1486673605042792,1.48,0.41,7.48
1486673605042792,1.47,0.41,7.48
1486673605042792,1.47,0.41,7.48
1486673605044911,1.47,0.40,7.49
1486673605044911,1.47,0.40,7.49
1486673605044911,1.47,0.40,7.47
1486673605044911,1.47,0.40,7.47
1486673605044911,1.48,0.40,7.49
1486673605044911,1.48,0.40,7.49
1486673605046990,1.47,0.41,7.48
1486673605046990,1.47,0.41,7.48
1486673605046990,1.48,0.41,7.47
1486673605046990,1.48,0.41,7.47
1486673605046990,1.47,0.41,7.47
1486673605046990,1.47,0.41,7.47
1486673605046990,1.47,0.40,7.47
1486673605049072,1.47,0.40,7.47
1486673605049072,1.47,0.41,7.48
1486673605049072,1.48,0.42,7.49
1486673605049072,1.48,0.42,7.49
1486673605049072,1.49,0.41,7.47
1486673605049072,1.49,0.41,7.47
1486673605049072,1.48,0.41,7.47
1486673605051175,1.48,0.41,7.47
1486673605051175,1.47,0.41,7.47
1486673605051175,1.48,0.41,7.47
1486673605051175,1.48,0.41,7.47
1486673605051175,1.47,0.40,7.48
1486673605051175,1.47,0.40,7.48
1486673605051175,1.48,0.40,7.48
1486673605053254,1.47,0.41,7.48
1486673605053254,1.47,0.41,7.48
1486673605053254,1.47,0.41,7.48
1486673605053254,1.47,0.41,7.48
1486673605053254,1.48,0.41,7.48
1486673605053254,1.48,0.41,7.48
1486673605053254,1.47,0.40,7.47
1486673605055330,1.47,0.40,7.47
1486673605055330,1.47,0.41,7.48
1486673605055330,1.47,0.40,7.48
1486673605055330,1.47,0.40,7.48
1486673605055330,1.48,0.42,7.47
1486673605055330,1.48,0.42,7.47
1486673605055330,1.47,0.41,7.48
